,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,close_cand_30pct,algehad,isapolitician
288,R.J.N. Walter,,242.0,0.3172,Grave,30/11/1848,algemeen,959,767,767,763.0,0,1.0,382.0,2,0,412.0,0.54,-0.22280000000000005,0,0,0,1,nee,nee
312,K.P. Feringa,,230.0,0.22640000000000002,Zuidhorn,15/06/1886,algemeen,1551,1020,1020,1016.0,4,1.0,508.0,3,0,497.0,0.4892,-0.26280000000000003,0,0,0,1,nee,nee
318,mr. J.J. Cremers,,184.0,0.3002,Groningen,04/12/1866,tussentijds,1463,614,614,613.0,0,1.0,307.0,2,0,361.0,0.5889,-0.28869999999999996,0,0,0,1,nee,nee
372,K. Venema,,42.0,0.0842,Winschoten,18/07/1864,tussentijds,1175,499,499,499.0,0,1.0,250.0,5,0,182.0,0.36469999999999997,-0.28049999999999997,0,0,0,1,nee,nee
424,mr. H. Vos,,406.0,0.38270000000000004,Assen,31/05/1853,herstemming,2351,1067,1070,1061.0,8,1.0,531.0,2,0,655.0,0.6173,-0.23459999999999992,0,0,0,1,nee,nee
610,dr. P.J. Costerus,,395.0,0.254,Sneek,27/08/1850,algemeen,2805,1576,1576,3110.0,12,2.0,778.0,3,0,786.0,0.5055,-0.25149999999999995,0,0,0,1,nee,nee
657,mr. W. van Nauta Lemke,,352.0,0.21899999999999997,Sneek,14/06/1864,periodiek,2919,1617,1617,1607.0,3,1.0,804.0,3,0,705.0,0.4387,-0.2197,0,0,0,1,nee,nee
681,C.J. de Bordes,,708.0,0.2704,Sneek,13/06/1871,periodiek,4111,2630,2630,2618.0,9,1.0,1309.0,2,0,1403.0,0.5359,-0.26550000000000007,0,0,0,1,nee,nee
801,A. Brummelkamp sr.,AR,704.0,0.3942,Dokkum,12/06/1877,periodiek,2764,1794,1794,1786.0,7,1.0,893.0,2,0,1073.0,0.6008,-0.2066,0,0,0,1,nee,nee
837,mr. J.A.G. de Vos van Steenwijk,,125.0,0.1632,Steenwijk,20/02/1851,tussentijds,1503,769,773,766.0,3,1.0,383.0,3,0,282.0,0.36810000000000004,-0.20490000000000003,0,0,0,1,nee,nee
853,J. Zeehuizen,,174.0,0.308,Steenwijk,12/06/1860,periodiek,1365,583,583,565.0,7,1.0,283.0,2,0,318.0,0.5628,-0.25479999999999997,0,0,0,1,nee,nee
857,J. Meesters,,144.0,0.2717,Steenwijk,14/06/1864,periodiek,1419,536,536,530.0,4,1.0,265.0,2,0,288.0,0.5434,-0.2717,0,0,0,1,nee,nee
889,mr. A. de Pinto,,252.0,0.1331,Zwolle,27/08/1850,algemeen,2439,1923,1923,3787.0,46,2.0,947.0,6,0,750.0,0.3961,-0.263,0,0,0,1,nee,nee
916,jhr.mr. F. van Hogendorp,,373.0,0.3435,Zwolle,08/06/1858,periodiek,2948,1101,1101,1086.0,12,1.0,543.0,2,0,679.0,0.6252,-0.28169999999999995,0,0,0,1,nee,nee
926,mr. W.G. Hovy,,142.0,0.09519999999999999,Zwolle,09/04/1861,tussentijds,2973,1503,1504,1491.0,11,1.0,746.0,5,0,484.0,0.3246,-0.2294,0,0,0,1,nee,nee
933,mr. W.G. Hovy,,172.0,0.1215,Zwolle,10/06/1862,periodiek,3085,1424,1424,1416.0,4,1.0,708.0,4,0,514.0,0.363,-0.2415,0,0,0,1,nee,nee
1145,jhr.mr. P.J. Teding van Berkhout,,415.0,0.2161,Deventer,30/10/1866,algemeen,2631,1985,1985,3841.0,115,2.0,960.0,4,0,921.0,0.4796,-0.26350000000000007,0,0,0,1,nee,nee
1147,J.A. van de Velde,,394.0,0.2052,Deventer,30/10/1866,algemeen,2631,1985,1985,3841.0,115,2.0,960.0,6,0,921.0,0.4796,-0.27440000000000003,0,0,0,1,nee,nee
1155,E. baron van Lynden,,665.0,0.36369999999999997,Deventer,22/01/1868,algemeen,2719,1841,1842,3657.0,21,2.0,914.0,4,0,1055.0,0.5770000000000001,-0.2133000000000001,0,0,0,1,nee,nee
1344,mr. C.P. Henny,,601.0,0.3895,Arnhem,02/05/1865,tussentijds,2892,1584,1585,1543.0,31,1.0,772.0,2,0,916.0,0.5936,-0.2041,0,0,0,1,nee,nee
1440,mr. W.C.C. Sassen jr.,,784.0,0.38539999999999996,Nijmegen,10/06/1862,periodiek,2536,2064,2065,2034.0,17,1.0,1017.0,2,0,1215.0,0.5972999999999999,-0.21189999999999998,0,0,0,1,nee,nee
1442,mr. A. Schouten,,787.0,0.3873,Nijmegen,10/06/1862,tussentijds,2536,2060,2060,2032.0,24,1.0,1016.0,4,0,1215.0,0.5972999999999999,-0.20999999999999996,0,0,0,1,nee,nee
1505,D.C. Steyn ParvÃÂ©,,108.0,0.1149,Tiel,09/11/1852,tussentijds,1441,946,946,940.0,6,1.0,470.0,4,0,318.0,0.3383,-0.2234,0,0,0,1,nee,nee
1506,jhr. P.A. Reuchlin,,74.0,0.0787,Tiel,09/11/1852,tussentijds,1441,946,946,940.0,6,1.0,470.0,5,0,318.0,0.3383,-0.2596,0,0,0,1,nee,nee
1621,mr. A.G.J. baron van Taets van Amerongen,,91.0,0.0736,Amersfoort,24/04/1860,tussentijds,2763,1266,1266,1236.0,6,1.0,618.0,4,0,427.0,0.3455,-0.2719,0,0,0,1,nee,nee
1701,jhr.mr. J.E. Huydecoper van Nigtevecht,,662.0,0.2642,Amersfoort,20/07/1886,tussentijds,3650,2516,2516,2506.0,3,1.0,1253.0,2,0,1255.0,0.5008,-0.23660000000000003,0,0,0,1,nee,nee
1715,jhr.mr. P.A.M. van Oosthuijse van Rijckevorsel van Rijsenburg,,527.0,0.272,Utrecht,17/05/1853,algemeen,2599,1958,1958,3875.0,19,2.0,969.0,3,0,952.0,0.4914,-0.21939999999999998,0,0,0,1,nee,nee
1749,mr. S.J. van Geuns,,480.0,0.22010000000000002,Utrecht,30/10/1866,algemeen,2944,2212,2212,4362.0,48,2.0,1091.0,4,0,972.0,0.4457,-0.22559999999999997,0,0,0,1,nee,nee
1750,mr. W.R. baron van Tuyll van Serooskerke,,442.0,0.2027,Utrecht,30/10/1866,algemeen,2944,2212,2212,4362.0,48,2.0,1091.0,5,0,972.0,0.4457,-0.243,0,0,0,1,nee,nee
1798,jhr.mr. J.H. Hora Siccama,AR,649.0,0.3049,Utrecht,28/10/1884,algemeen,3048,2371,2372,4257.0,485,2.0,1064.0,4,0,1154.0,0.5422,-0.2373,0,0,0,1,nee,nee
1813,A.L. van Tienen,,95.0,0.0732,Hilversum,26/02/1878,tussentijds,1827,1302,1303,1297.0,2,1.0,649.0,4,0,471.0,0.36310000000000003,-0.28990000000000005,0,0,0,1,nee,nee
1825,jhr.mr. J.E. Huydecoper van Nigtevecht,(AH)*,606.0,0.3741,Hilversum,28/10/1884,algemeen,2225,1625,1625,1620.0,2,1.0,810.0,2,0,1004.0,0.6198,-0.24570000000000003,0,0,0,1,nee,nee
1827,C.J. Hacke van Mijnden,(AH)*,770.0,0.3967,Hilversum,15/06/1886,algemeen,2370,1945,1946,1941.0,2,1.0,971.0,2,0,1160.0,0.5976,-0.20090000000000002,0,0,0,1,nee,nee
1829,C.J. Hacke van Mijnden,,539.0,0.35229999999999995,Hilversum,01/09/1887,algemeen,2453,1543,1543,1530.0,9,1.0,765.0,2,0,986.0,0.6444,-0.2921,0,0,0,1,nee,nee
1865,P. Bruining,,109.0,0.3011,Amsterdam III,30/11/1848,algemeen,461,370,370,362.0,3,1.0,181.0,2,0,203.0,0.5608,-0.2597,0,0,0,1,nee,nee
1875,P.C. GÃÂ¼lcher,,111.0,0.3569,Amsterdam IV,14/12/1848,herstemming,437,311,311,311.0,0,1.0,156.0,2,0,200.0,0.6431,-0.2862,0,0,0,1,nee,nee
1896,J.D. Kruseman,,150.0,0.09140000000000001,Hoorn,20/04/1852,tussentijds,3430,1661,1661,1642.0,9,1.0,821.0,3,0,571.0,0.3477,-0.2563,0,0,0,1,nee,nee
1897,S. de Vries,,136.0,0.0828,Hoorn,20/04/1852,tussentijds,3430,1661,1661,1642.0,9,1.0,821.0,4,0,571.0,0.3477,-0.2649,0,0,0,1,nee,nee
1927,H. Koomen,,159.0,0.1139,Hoorn,30/07/1858,tussentijds,3679,1409,1409,1396.0,4,1.0,698.0,3,0,509.0,0.36460000000000004,-0.25070000000000003,0,0,0,1,nee,nee
1948,H. Raat,,80.0,0.0681,Hoorn,14/06/1864,periodiek,3368,1188,1188,1175.0,7,1.0,588.0,4,0,331.0,0.2817,-0.2136,0,0,0,1,nee,nee
