,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1717,L.M. Hermans,SDAP,1933.0,0.2432,Arnhem,17/06/1913,algemeen,9044,-,8006,7949.0,57,1.0,3975.0,3,0,3093.0,0.38909999999999995,-0.14589999999999995,0,0,1,mr. J.A. de Wilde,AR(Ka/CHU),3093.0,0.38909999999999995,nee
1718,H.P.J. Bloemers,Lib,4366.0,0.3635,Doetinchem,17/06/1913,algemeen,12706,-,12149,12010.0,139,1.0,6005.0,2,0,6078.0,0.5061,-0.1426,0,0,1,P. van Vliet,AR(Ka/CHU),6078.0,0.5061,nee
1723,A.W. Heijkoop,SDAP,1659.0,0.2279,Brielle,17/06/1913,algemeen,8519,-,7338,7280.0,58,1.0,3640.0,3,0,3047.0,0.41850000000000004,-0.19060000000000005,0,0,1,A. Roodhuyzen,Lib,3047.0,0.41850000000000004,nee
1725,J.H.F. van Zadelhoff,SDAP,2054.0,0.24710000000000001,Dordrecht,17/06/1913,algemeen,9867,-,8420,8311.0,109,1.0,4156.0,3,0,3506.0,0.4219,-0.17479999999999998,0,0,1,H.C. Hogerzeil,AR(Ka/CHU),3506.0,0.4219,nee
1731,C. Smeenk,AR(Ka/CHU),3682.0,0.3455,Den Haag I,17/06/1913,algemeen,13029,-,10834,10658.0,176,1.0,5329.0,2,0,4836.0,0.4537,-0.10820000000000002,0,0,1,K. ter Laan,SDAP,4836.0,0.4537,nee
1733,L. Hoejenbos,SDAP,2800.0,0.25579999999999997,Den Haag II,17/06/1913,algemeen,13635,-,11088,10946.0,142,1.0,5473.0,3,0,4380.0,0.40009999999999996,-0.14429999999999998,0,0,1,J.R. Snoeck Henkemans,CHU(Ka/AR),4380.0,0.40009999999999996,nee
1745,H. Stulemeijer,Ka(AR/CHU),1731.0,0.3685,Rotterdam III,17/06/1913,algemeen,5734,-,4769,4698.0,71,1.0,2349.0,2,0,2521.0,0.5366,-0.16809999999999997,0,0,1,J.H. Lasonder,Lib,2521.0,0.5366,nee
1751,dr. J.H. Gunning Wzn.,Lib,2678.0,0.342,Schiedam,17/06/1913,algemeen,9215,-,7917,7831.0,86,1.0,3916.0,2,0,4017.0,0.513,-0.17099999999999999,0,0,1,jhr.mr. D.J. de Geer,CHU(Ka/AR),4017.0,0.513,nee
1752,dr. W.W. van der Meulen,VL,2542.0,0.3882,Sliedrecht,17/06/1913,algemeen,8814,-,6651,6548.0,103,1.0,3274.0,2,0,3445.0,0.5261,-0.13790000000000002,0,0,1,J. van der Molen Tz.,AR(Ka/CHU),3445.0,0.5261,nee
1755,J.W. Smit,Ka(AR/CHU),1186.0,0.3043,Amsterdam I,17/06/1913,algemeen,5184,-,3962,3898.0,64,1.0,1949.0,2,0,1944.0,0.4987,-0.19439999999999996,0,0,1,dr. H.F.R. Hubrecht,Lib,1944.0,0.4987,nee
