Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
J.H. Donner,Katwijk,10/04/1894,,,,,,,,,,
J.H. Donner,Katwijk,11/05/1894,,,,,,,,,,
mr. F.J.M.A. Reekers,Katwijk,25/05/1894,,,,,,,,,,
mr. J.G. Patijn,Gouda,06/03/1888,,,,,,,,,,
mr. J. Fortuijn Droogleever,Gouda,15/05/1888,,,,,,,,,,
mr. O.J.E. baron van Wassenaer van Catwijck,Gouda,09/06/1891,,,,,,,,,,
mr. O.J.E. baron van Wassenaer van Catwijck,Gouda,23/06/1891,,,,,,,,,,
P. van der Breggen,Gouda,24/11/1891,,,,,,,,,,
T.G.G. Valette,Gouda,30/05/1893,,,,,,,,,,
A. Brummelkamp jr.,Gouda,30/05/1893,,,,,,,,,,
J.N. Bastert,Gouda,13/06/1893,,,,,,,,,,
T.G.G. Valette,Gouda,10/04/1894,,,,,,,,,,
T.G.G. Valette,Gouda,24/04/1894,,,,,,,,,,
mr. J.G. Patijn,Bodegraven,06/03/1888,,,,,,,,,,
A.J.T. Hofman,Bodegraven,06/03/1888,,,,,,,,,,
mr. J.G. Patijn,Bodegraven,20/03/1888,,,,,,,,,,
S. van Velzen jr.,Bodegraven,09/06/1891,,,,,,,,,,
J.N. Bastert,Bodegraven,23/06/1891,,,,,,,,,,
A. Knijff,Bodegraven,10/04/1894,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Bodegraven,10/04/1894,,,,,,,,,,
J.J. Duynstee,Bodegraven,10/04/1894,,,,,,,,,,
C.M.E. van LÃ¶ben Sels,Bodegraven,24/04/1894,,,,,,,,,,
mr. J.G. Gleichman,Delft,06/03/1888,,,,,,,,,,
jhr.mr. A.P.C. van Karnebeek,Delft,22/04/1890,,,,,,,,,,
mr. J.P.R. Tak van Poortvliet,Delft,09/06/1891,,,,,,,,,,
mr. J.P.R. Tak van Poortvliet,Delft,23/06/1891,,,,,,,,,,
mr. H.A. van de Velde,Delft,10/04/1894,,,,,,,,,,
jhr.mr. W.T.C. van Doorn,Loosduinen,06/03/1888,,,,,,,,,,
J.C. Fabius,Loosduinen,06/03/1888,,,,,,,,,,
jhr.mr. W.T.C. van Doorn,Loosduinen,20/03/1888,,,,,,,,,,
mr. H.A. van de Velde,Loosduinen,09/06/1891,,,,,,,,,,
mr. H.P. de Kanter,Loosduinen,09/06/1891,,,,,,,,,,
mr. H.A. van de Velde,Loosduinen,23/06/1891,,,,,,,,,,
mr. H.A. van de Velde,Loosduinen,10/04/1894,,,,,,,,,,
mr. H.A. van de Velde,Loosduinen,24/04/1894,,,,,,,,,,
L.W. Jansen,Schiedam,06/03/1888,,,,,,,,,,
J.C. Fabius,Schiedam,06/03/1888,,,,,,,,,,
L.W. Jansen,Schiedam,20/03/1888,,,,,,,,,,
jhr.mr. W. Six,Schiedam,20/11/1888,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Schiedam,09/06/1891,,,,,,,,,,
mr. J.G. Gleichman,Schiedam,23/06/1891,,,,,,,,,,
S.A. Maas,Schiedam,10/04/1894,,,,,,,,,,
S.A. Maas,Schiedam,24/04/1894,,,,,,,,,,
mr. Th. Heemskerk,Brielle,06/03/1888,,,,,,,,,,
H. Seret,Brielle,09/06/1891,,,,,,,,,,
H. Seret,Brielle,10/04/1894,,,,,,,,,,
H. Seret,Brielle,24/04/1894,,,,,,,,,,
mr. L.P.M.H. baron van Michiels van Verduynen,Den Haag,06/03/1888,,,,,,,,,,
mr. H.M.A. baron van Goes van Dirxland,Den Haag,06/03/1888,,,,,,,,,,
P.C. Evers,Den Haag,06/03/1888,,,,,,,,,,
mr. L.P.M.H. baron van Michiels van Verduynen,Den Haag,20/03/1888,,,,,,,,,,
mr. H.M.A. baron van Goes van Dirxland,Den Haag,20/03/1888,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Den Haag,29/10/1889,,,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Den Haag,09/06/1891,,,,,,,,,,
L.J.S. van Kempen,Den Haag,09/06/1891,,,,,,,,,,
C.A. Steger,Den Haag,09/06/1891,,,,,,,,,,
J.M. Pijnacker Hordijk,Den Haag,11/05/1894,,,,,,,,,,
mr. A.J.W. van Roijen,Den Haag,11/05/1894,,,,,,,,,,
mr. J.G.S. Bevers,Den Haag,25/05/1894,,,,,,,,,,
mr. J.B. van Osenbruggen,Dordrecht,06/03/1888,,,,,,,,,,
mr. R. van der Borch van Verwolde,Dordrecht,20/03/1888,,,,,,,,,,
J.G. van Schaardenburg,Dordrecht,26/03/1889,,ja,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Dordrecht,09/06/1891,,,,,,,,,,
dr. A. Kuyper,Dordrecht,24/04/1894,,,,,,,,,,
mr. J.B. van Osenbruggen,Ridderkerk,06/03/1888,,,,,,,,,,
mr. Th. Heemskerk,Ridderkerk,09/06/1891,,,,,,,,,,
mr. Th. Heemskerk,Ridderkerk,10/04/1894,,,,,,,,,,
mr. Th. Heemskerk,Ridderkerk,24/04/1894,,,,,,,,,,
J.J. van Tienhoven van den Boogaard,Gorinchem,06/03/1888,,,,,,,,,,
W.F. Tak,Gorinchem,09/06/1891,,,,,,,,,,
J.F.W. Conrad,Gorinchem,10/04/1894,,,,,,,,,,
K. van Wijngaarden,Sliedrecht,06/03/1888,,,,,,,,,,
J. Lels,Sliedrecht,09/06/1891,,,,,,,,,,
J.A. van Haaften,Sliedrecht,24/04/1894,,,,,,,,,,
A. Smit,Middelburg,06/03/1888,,,,,,,,,,
A. Smit,Middelburg,20/03/1888,,,,,,,,,,
mr. C. Lucasse,Middelburg,09/06/1891,,,,,,,,,,
mr. E. Fokker,Middelburg,25/06/1891,,,,,,,,,,
N. Glinderman,Oostburg,06/03/1888,,,,,,,,,,
mr. P.C.J. Hennequin,Oostburg,20/03/1888,,,,,,,,,,
N. Glinderman,Oostburg,09/06/1891,,,,,,,,,,
J.H.C. Heijse,Goes,18/03/1890,,,,,,,,,,
J.H.C. Heijse,Goes,09/06/1891,,,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Hontenisse,06/03/1888,,,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Hontenisse,20/03/1888,,,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Hontenisse,09/06/1891,,,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Hontenisse,23/06/1891,,,,,,,,,,
mr. F.J.F.M. Walter,Hontenisse,24/04/1894,,,,,,,,,,
mr. D.P.D. Fabius,Zierikzee,06/03/1888,,,,,,,,,,
L.D.J.L. de Ram,Bergen op Zoom,06/03/1888,,,,,,,,,,
mr. J.G.S. Bevers,Bergen op Zoom,06/03/1888,,,,,,,,,,
W.H.B. Wilkens,Bergen op Zoom,20/03/1888,,,,,,,,,,
mr. T.L.M.H. Borret,Oosterhout,09/06/1891,,,,,,,,,,
mr. A.F. Vos de Wael,Waalwijk,09/06/1891,,,,,,,,,,
E.F.H.J. de Beaumont,Maastricht,15/05/1888,,,,,,,,,,
M. de Ras,Maastricht,28/06/1892,,,,,,,,,,
mr. G.A.A. Tripels,Maastricht,28/06/1892,,,,,,,,,,
G.L.D. Franquinet,Maastricht,28/06/1892,,,,,,,,,,
C. Schreinemacher,Maastricht,12/07/1892,,,,,,,,,,
G. Smeets,Gulpen,06/03/1888,,,,,,,,,,
mr. L. Geradts,Roermond,18/06/1889,,,,,,,,,,
mr. E. Fokker,Alkmaar,15/06/1897,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Alkmaar,25/06/1897,,,,,,,,,,
mr. M.J. Pijnappel,Amsterdam I,15/06/1897,,,,,,,,,,
mr. A. Kerdijk,Amsterdam I,15/06/1897,,,,,,,,,,
F.G. Mellink Pzn.,Amsterdam II,15/06/1897,,ja,,,,,,,,
G.A. Aalderink,Amsterdam II,15/06/1897,,,,,,,,,,
T.J. Weesing,Amsterdam II,15/06/1897,,,,,,,,,,
A.D. de Marez Oyens,Amsterdam II,15/06/1897,,,,,,,,,,
F.G. Mellink Pzn.,Amsterdam II,25/06/1897,,ja,,,,,,,,
W. Hovy,Amsterdam III,15/06/1897,,,,,,,,,,
C.V. Gerritsen,Amsterdam III,15/06/1897,,,,,,,,,,
C.H. den Hertog,Amsterdam III,18/03/1901,,,,,,,,,,
mr. Z. van den Bergh,Amsterdam III,18/03/1901,,,,,,,,,,
H. Polak,Amsterdam III,25/03/1901,,,,,,,,,,
mr. Z. van den Bergh,Amsterdam IV,15/06/1897,,,,,,,,,,
mr. Z. van den Bergh,Amsterdam IV,25/06/1897,,,,,,,,,,
T.M. Ketelaar,Amsterdam V,15/06/1897,,,,,,,,,,
W.C.J. Passtoors,Amsterdam V,15/06/1897,,,,,,,,,,
mr. D.P.D. Fabius,Amsterdam V,15/06/1897,,,,,,,,,,
mr. N.G. Pierson,Amsterdam V,25/06/1897,,,,,,,,,,
W.J. Geertsema,Amsterdam VI,17/08/1897,,,,,,,,,,
C.V. Gerritsen,Amsterdam VI,17/08/1897,,,,,,,,,,
W.C.J. Passtoors,Amsterdam VII,15/06/1897,,,,,,,,,,
G.H. Wagenaar,Amsterdam VII,15/06/1897,,,,,,,,,,
W.C.J. Passtoors,Amsterdam VII,25/06/1897,,,,,,,,,,
mr. Th. Heemskerk,Amsterdam VIII,15/06/1897,,,,,,,,,,
W.C.J. Passtoors,Amsterdam VIII,15/06/1897,,,,,,,,,,
mr. I.A. Levy,Amsterdam VIII,15/06/1897,,,,,,,,,,
A. Harmsen jr.,Amsterdam VIII,15/06/1897,,,,,,,,,,
mr. Th. Heemskerk,Amsterdam VIII,25/06/1897,,,,,,,,,,
dr. A. Kuyper,Amsterdam IX,15/06/1897,,,,,,,,,,
mr. Th. Heemskerk,Amsterdam IX,28/07/1897,,,,,,,,,,
H.C. van der Houven van Oordt,Apeldoorn,15/06/1897,,,,,,,,,,
J. Bouwes,Appingedam,15/06/1897,,,,,,,,,,
mr. J.P.R. Tak van Poortvliet,Beverwijk,15/06/1897,,,,,,,,,,
mr. T.L.M.H. Borret,Beverwijk,25/06/1897,,,,,,,,,,
J.T. Cremer,Beverwijk,22/02/1901,,,,,,,,,,
A. Knijff,Bodegraven,15/06/1897,,,,,,,,,,
mr. J.C. von Briel Sasse,Bodegraven,25/06/1897,,,,,,,,,,
mr. N.G. Pierson,Delft,15/06/1897,,,,,,,,,,
mr. N.G. Pierson,Delft,25/06/1897,,,,,,,,,,
A.P. Staalman,Brielle,15/06/1897,,,,,,,,,,
jhr.mr. J.E. Huydecoper van Maarseveen en Nichtevecht,Breukelen,15/06/1897,,,,,,,,,,
J. Stoffel,Deventer,15/06/1897,,,,,,,,,,
dr. H.J.A.M. Schaepman,Deventer,15/06/1897,,,,,,,,,,
mr. A. van Delden,Deventer,25/06/1897,,,,,,,,,,
mr. Th. Heemskerk,Deventer,15/02/1898,,,,,,,,,,
dr. J. van Loenen Martinet,Deventer,15/02/1898,,,,,,,,,,
dr. J. van Loenen Martinet,Deventer,07/12/1898,,,,,,,,,,
mr. E. Schaafsma,Dokkum,15/06/1897,,,,,,,,,,
H. Pollema,Dokkum,25/06/1897,,,,,,,,,,
H.A. Pauwen,Doetinchem,15/06/1897,,,,,,,,,,
dr. M.A. Brants,Doetinchem,15/06/1897,,,,,,,,,,
H.A. Pauwen,Doetinchem,25/06/1897,,,,,,,,,,
S.M.H. van Gijn,Dordrecht,15/06/1897,,,,,,,,,,
mr. J.M. Rens,Dordrecht,25/06/1897,,,,,,,,,,
mr. N.G. Pierson,Enschede,15/06/1897,,,,,,,,,,
mr. A.F. Vos de Wael,Enschede,25/06/1897,,,,,,,,,,
H.H. van Kol,Enschede,17/08/1897,,,,,,,,,,
mr. G. Jannink,Enschede,17/08/1897,,,,,,,,,,
J.H. ter Veer,Enschede,24/08/1897,,,,,,,,,,
H. Raat 2,Enkhuizen,15/06/1897,,,,,,,,,,
A. Kool 2,Enkhuizen,19/10/1897,,,,,,,,,,
C.V. Gerritsen,Enkhuizen,19/10/1897,,,,,,,,,,
H. Raat 2,Enkhuizen,26/10/1897,,,,,,,,,,
H. Kamstra,Franeker,15/06/1897,,,,,,,,,,
Z. Middelkoop,Franeker,15/06/1897,,,,,,,,,,
H. Kamstra,Franeker,25/06/1897,,,,,,,,,,
mr. C.J.E. graaf van Bylandt,Gouda,15/06/1897,,,,,,,,,,
L.F. Duymaer van Twist,Gouda,25/06/1897,,,,,,,,,,
mr. N.G. Pierson,Gorinchem,15/06/1897,,,,,,,,,,
H.A. le Bron de Vexela,Den Haag II,15/06/1897,,,,,,,,,,
H.A. le Bron de Vexela,Den Haag II,25/06/1897,,,,,,,,,,
J.D. baron van Wassenaer van Rosande,Den Haag III,15/06/1897,,,,,,,,,,
H.J.G. van Hoogstraten,Den Haag III,15/06/1897,,,,,,,,,,
H.D. Guyot,Den Haag III,15/06/1897,,,,,,,,,,
J.D. baron van Wassenaer van Rosande,Den Haag III,25/06/1897,,,,,,,,,,
mr. S. van Houten,Groningen,15/06/1897,,,,,,,,,,
A. Brummelkamp jr.,Groningen,15/06/1897,,,,,,,,,,
mr. L.H.W. Regout,Gulpen,15/06/1897,,,,,,,,,,
jhr.mr. F.W. van Styrum,Haarlem,11/05/1900,,,,,,,,,,
mr. H.P. de Kanter,Haarlem,11/05/1900,,,,,,,,,,
L. Modoo,Haarlem,11/05/1900,,,,,,,,,,
W.A.J. van de Kamp,Haarlem,11/05/1900,,,,,,,,,,
dr. P.J. Muller,Haarlem,11/05/1900,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Haarlem,18/05/1900,,,,,,,,,,
G.B. 't Hooft,Haarlemmermeer,15/06/1897,,,,,,,,,,
mr. F.J.M.A. Reekers,Haarlemmermeer,25/06/1897,,,,,,,,,,
A. Bouman,Harlingen,15/06/1897,,,,,,,,,,
dr. J.T. de Visser,Harlingen,15/06/1897,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Harlingen,25/06/1897,,,,,,,,,,
dr. C. Lely,Den Helder,15/06/1897,,,,,,,,,,
dr. C. Lely,Den Helder,25/06/1897,,,,,,,,,,
mr. J.G. van Deinse,Hontenisse,15/06/1897,,,,,,,,,,
jhr.mr. J.J. Pompe van Meerdervoort,Hontenisse,15/06/1897,,,,,,,,,,
mr. F.J.F.M. Walter,Hontenisse,25/06/1897,,,,,,,,,,
A. Wiersinga,Hoogezand,15/06/1897,,,,,,,,,,
J.H. Donner,Katwijk,15/06/1897,,,,,,,,,,
jhr. J.W.J.C.M. van Nispen tot Sevenaer,Katwijk,25/06/1897,,,,,,,,,,
mr. P.J. Troelstra,Leeuwarden,15/06/1897,,,,,,,,,,
dr. E.B. Kielstra,Leeuwarden,15/06/1897,,,,,,,,,,
W.C. van Munster,Leeuwarden,15/06/1897,,,,,,,,,,
J.F.H. Bekhuis,Leeuwarden,15/06/1897,,,,,,,,,,
C.V. Gerritsen,Leeuwarden,25/06/1897,,,,,,,,,,
W. Bax,Leeuwarden,27/07/1897,,,,,,,,,,
W.C. van Munster,Leeuwarden,27/07/1897,,,,,,,,,,
W. Bax,Leeuwarden,03/08/1897,,,,,,,,,,
mr. H.L. Drucker,Leiden,15/06/1897,,,,,,,,,,
A. Brummelkamp jr.,Loosduinen,15/06/1897,,,,,,,,,,
J.M. Pijnacker Hordijk,Loosduinen,15/06/1897,,,,,,,,,,
mr. A.H.M. van Berckel,Loosduinen,25/06/1897,,,,,,,,,,
mr. J.L.G.L.P. Haex,Maastricht,02/03/1900,,,,,,,,,,
mr. E. Fokker,Middelburg,15/06/1897,,,,,,,,,,
mr. E. Fokker,Middelburg,25/06/1897,,,,,,,,,,
N. Glinderman,Oostburg,15/06/1897,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Ridderkerk,15/06/1897,,,,,,,,,,
mr. G.J. Goekoop,Ridderkerk,25/06/1897,,,,,,,,,,
dr. J.T. de Visser,Rotterdam I,15/06/1897,,,,,,,,,,
dr. R.P. Mees R.Az.,Rotterdam I,25/06/1897,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Rotterdam II,15/06/1897,,,,,,,,,,
dr. H.J.A.M. Schaepman,Rotterdam III,15/06/1897,,,,,,,,,,
dr. W.B. van Staveren,Rotterdam IV,15/06/1897,,,,,,,,,,
dr. W.B. van Staveren,Rotterdam IV,25/06/1897,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Rotterdam IV,18/01/1898,,,,,,,,,,
jhr.mr. T.A.J. van Asch van Wijck,Rotterdam IV,25/01/1898,,,,,,,,,,
H. Pyttersen,Schoterland,15/06/1897,,,,,,,,,,
dr. A. Kuyper,Schoterland,15/06/1897,,,,,,,,,,
H. Pyttersen,Schoterland,25/06/1897,,,,,,,,,,
mr. J.A. van Gilse,Sneek,15/06/1897,,,,,,,,,,
W. Kroese,Sneek,15/06/1897,,,,,,,,,,
mr. Th. Heemskerk,Sneek,25/06/1897,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Steenwijk,15/06/1897,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Steenwijk,25/06/1897,,,,,,,,,,
mr. P.J. Troelstra,Tietjerksteradeel,15/06/1897,,,,,,,,,,
J.D. de Vries,Tietjerksteradeel,25/06/1897,,,,,,,,,,
jhr.mr. A.P.C. van Karnebeek,Utrecht I,15/06/1897,,,,,,,,,,
H.A. van Beuningen,Utrecht I,15/06/1897,,,,,,,,,,
mr. N. de Ridder,Utrecht I,25/06/1897,,,,,,,,,,
J.N. Bastert,Utrecht II,15/06/1897,,,,,,,,,,
A.L.W. Seijffardt,Utrecht II,15/06/1897,,,,,,,,,,
J.W. Bergansius,Utrecht II,25/06/1897,,,,,,,,,,
M.H.A. van der Valk,Veendam,15/06/1897,,,,,,,,,,
mr. E.A. Smidt,Veendam,17/03/1899,,,,,,,,,,
P. van Vliet,Weststellingwerf,15/06/1897,,,,,,,,,,
mr. P.J. Troelstra,Winschoten,15/06/1897,,,,,,,,,,
B.L. Tijdens,Winschoten,15/06/1897,,,,,,,,,,
A. Wiersinga,Winschoten,15/06/1897,,,,,,,,,,
dr. D. Bos,Winschoten,25/06/1897,,,,,,,,,,
H.H. van Kol,Winschoten,27/07/1897,,,,,,,,,,
C.V. Gerritsen,Winschoten,27/07/1897,,,,,,,,,,
P. Dijkhuis,Winschoten,27/07/1897,,,,,,,,,,
H.H. van Kol,Winschoten,03/08/1897,,,,,,,,,,
G. Zijlma,Zuidhorn,15/06/1897,,,,,,,,,,
dr. A. Kuyper,Zuidhorn,25/06/1897,,,,,,,,,,
H.W.C. de Jonge,Zutphen,15/06/1897,,,,,,,,,,
J. Hoven,Zwolle,25/06/1897,,ja,,,,,,,,
mr. H.P. de Kanter,Apeldoorn,14/06/1901,,,,,,,,,,
J.S.F. van Hoogstraten,Arnhem,14/06/1901,,,,,,,,,,
J.S.F. van Hoogstraten,Arnhem,27/06/1901,,,,,,,,,,
mr. H.F. Hesselink van Suchtelen,Doetinchem,14/06/1901,,,,,,,,,,
jhr.mr. H.W. van Asch van Wijck,Lochem,14/06/1901,,,,,,,,,,
R.P.J. Tutein Nolthenius,Zutphen,14/06/1901,,,,,,,,,,
R.P.J. Tutein Nolthenius,Zutphen,27/06/1901,,,,,,,,,,
mr. J.W.H.M. van Idsinga,Bodegraven,14/06/1901,,,,,,,,,,
J.H. de Waal Malefijt,Bodegraven,14/06/1901,,,,,,,,,,
A. Knijff,Bodegraven,27/06/1901,,,,,,,,,,
H.C. Vegtel,Brielle,14/06/1901,,,,,,,,,,
H.C. Vegtel,Brielle,27/06/1901,,,,,,,,,,
mr. J.M. Rens,Dordrecht,14/06/1901,,,,,,,,,,
mr. J.M. Rens,Dordrecht,27/06/1901,,,,,,,,,,
mr. C.J.E. graaf van Bylandt,Gouda,14/06/1901,,,,,,,,,,
mr. C.J.E. graaf van Bylandt,Gouda,27/06/1901,,,,,,,,,,
mr. W. Dolk,Den Haag I,14/06/1901,,,,,,,,,,
mr. W. Dolk,Den Haag I,27/06/1901,,,,,,,,,,
W.B. van Liefland,Den Haag II,14/06/1901,,,,,,,,,,
mr. O.J.E. baron van Wassenaer van Catwijck,Katwijk,14/06/1901,,,,,,,,,,
mr. S. baron van Heemstra 2,Katwijk,14/06/1901,,,,,,,,,,
mr. P.J.M. Aalberse,Katwijk,27/06/1901,,,,,,,,,,
A. Brummelkamp jr.,Loosduinen,14/06/1901,,,,,,,,,,
jhr. J.W.J.C.M. van Nispen tot Sevenaer,Loosduinen,27/06/1901,,,,,,,,,,
dr. J.T. de Visser,Rotterdam I,14/06/1901,,,,,,,,,,
dr. J.T. de Visser,Rotterdam I,27/06/1901,,,,,,,,,,
mr. A. de Jong,Rotterdam II,14/06/1901,,,,,,,,,,
mr. A. de Jong,Rotterdam II,27/06/1901,,,,,,,,,,
mr. C.A.H. Barge,Rotterdam III,14/06/1901,,,,,,,,,,
mr. D.P.D. Fabius,Rotterdam IV,14/06/1901,,,,,,,,,,
mr. D.P.D. Fabius,Rotterdam IV,27/06/1901,,,,,,,,,,
F.J. van Rijswijk,Rotterdam V,14/06/1901,,,,,,,,,,
mr. S. Muller Hzn.,Rotterdam V,14/06/1901,,,,,,,,,,
J.H. de Waal Malefijt,Rotterdam V,14/06/1901,,,,,,,,,,
mr. O.J.H. graaf van Limburg Stirum,Schiedam,14/06/1901,,,,,,,,,,
A.W.F. Idenburg,Schiedam,27/06/1901,,,,,,,,,,
N. Oosterbaan,Alkmaar,14/06/1901,,,,,,,,,,
N. Oosterbaan,Alkmaar,27/06/1901,,,,,,,,,,
J.F.M. Sterck,Amsterdam I,14/06/1901,,,,,,,,,,
dr. J.T. de Visser,Amsterdam II,14/06/1901,,,,,,,,,,
H.F. Groen van Waarder,Amsterdam II,27/06/1901,,,,,,,,,,
H. Polak,Amsterdam III,14/06/1901,,,,,,,,,,
H. Polak,Amsterdam III,27/06/1901,,,,,,,,,,
J. Deen,Amsterdam V,14/06/1901,,,,,,,,,,
J. Deen,Amsterdam V,27/06/1901,,,,,,,,,,
H.W. van Marle,Amsterdam VI,14/06/1901,,,,,,,,,,
H.W. van Marle,Amsterdam VI,27/06/1901,,,,,,,,,,
B.H. Heldt,Amsterdam VII,14/06/1901,,,,,,,,,,
dr. A. Kuyper,Amsterdam VIII,14/06/1901,,,,,,,,,,
A.J.C.J.S. Bergsma,Amsterdam VIII,14/06/1901,,,,,,,,,,
P.H. van Outersterp,Amsterdam VIII,14/06/1901,,,,,,,,,,
dr. A. Kuyper,Amsterdam VIII,27/06/1901,,,,,,,,,,
dr. C. Lely,Amsterdam IX,14/06/1901,,,,,,,,,,
A.H. Gerhard,Amsterdam IX,14/06/1901,,,,,,,,,,
mr. J.A. van Gilse,Amsterdam IX,14/06/1901,,,,,,,,,,
H. Byleveld,Amsterdam IX,27/06/1901,,,,,,,,,,
dr. J. van Loenen Martinet,Beverwijk,14/06/1901,,,,,,,,,,
A. Kool 2,Enkhuizen,14/06/1901,,,,,,,,,,
W.A.J. van de Kamp,Haarlem,14/06/1901,,,,,,,,,,
F.W.N. Hugenholtz,Haarlem,14/06/1901,,,,,,,,,,
G.B. 't Hooft,Haarlemmermeer,14/06/1901,,,,,,,,,,
G.B. 't Hooft,Haarlemmermeer,27/06/1901,,,,,,,,,,
C.S. Jaring,Den Helder,14/06/1901,,,,,,,,,,
mr. S. baron van Heemstra 2,Hilversum,14/06/1901,,,,,,,,,,
J.J.B. Fanoy,Hilversum,14/06/1901,,,,,,,,,,
dr. J. van Loenen Martinet,Hilversum,14/06/1901,,,,,,,,,,
dr. H. Gorter,Hilversum,14/06/1901,,,,,,,,,,
mr. F.J.M.A. Reekers,Hilversum,27/06/1901,,,,,,,,,,
mr. M. Mendels,Zaandam,14/06/1901,,,,,,,,,,
mr. J.G. van Deinse,Hontenisse,14/06/1901,,,,,,,,,,
mr. Th. Heemskerk,Hontenisse,14/06/1901,,,,,,,,,,
mr. J.G. van Deinse,Hontenisse,27/06/1901,,,,,,,,,,
A. Smit,Middelburg,14/06/1901,,,,,,,,,,
J.A. de Bruijne,Zierikzee,14/06/1901,,,,,,,,,,
J.H. de Waal Malefijt,Breukelen,14/06/1901,,,,,,,,,,
mr. H.J. Doude van Troostwijk,Breukelen,14/06/1901,,,,,,,,,,
F.J.A.M. Wierdels,Breukelen,27/06/1901,,,,,,,,,,
A.W.F. Idenburg,Utrecht I,14/06/1901,,,,,,,,,,
mr. P.J. Troelstra,Utrecht I,14/06/1901,,,,,,,,,,
A.W.F. Idenburg,Utrecht I,27/06/1901,,,,,,,,,,
jhr.mr. J. RoÃ«ll,Utrecht II,14/06/1901,,,,,,,,,,
J. Oudegeest,Utrecht II,14/06/1901,,,,,,,,,,
mr. D.A.P.N. Koolen,Utrecht II,27/06/1901,,,,,,,,,,
F. Lieftinck,Franeker,14/06/1901,,,,,,,,,,
mr. P.J. Troelstra,Franeker,14/06/1901,,,,,,,,,,
J.P. Vergouwen,Franeker,27/06/1901,,,,,,,,,,
A. Bouman,Harlingen,14/06/1901,,,,,,,,,,
H. Pyttersen,Leeuwarden,14/06/1901,,,,,,,,,,
mr. T. de Vries,Leeuwarden,14/06/1901,,,,,,,,,,
H. Pyttersen,Leeuwarden,27/06/1901,,,,,,,,,,
mr. J. Schokking,Schoterland,14/06/1901,,,,,,,,,,
mr. J. Schokking,Schoterland,27/06/1901,,,,,,,,,,
A.S. Talma,Weststellingwerf,14/06/1901,,,,,,,,,,
dr. H. Blink,Weststellingwerf,14/06/1901,,,,,,,,,,
A.S. Talma,Weststellingwerf,27/06/1901,,,,,,,,,,
H.H. van Kol,Enschede,14/06/1901,,,,,,,,,,
mr. P.J.M. Aalberse,Enschede,27/06/1901,,,,,,,,,,
mr. F.O. van der Dussen,Kampen,14/06/1901,,,,,,,,,,
J.H.A. Schaper,Appingedam,14/06/1901,,,,,,,,,,
J. Schepel,Appingedam,14/06/1901,,,,,,,,,,
J. van der Molen Tz.,Appingedam,27/06/1901,,,,,,,,,,
J.W. Rudolph,Hoogezand,14/06/1901,,,,,,,,,,
mr. J.D. Veegens,Hoogezand,14/06/1901,,,,,,,,,,
dr. D. Bos,Veendam,14/06/1901,,,,,,,,,,
dr. D. Bos,Veendam,27/06/1901,,,,,,,,,,
H.H. van Kol,Winschoten,14/06/1901,,,,,,,,,,
J.C. Wirtz,Winschoten,14/06/1901,,,,,,,,,,
H.H. van Kol,Winschoten,27/06/1901,,,,,,,,,,
G. Zijlma,Zuidhorn,14/06/1901,,,,,,,,,,
J.C. Wirtz,Zuidhorn,27/06/1901,,,,,,,,,,
mr. H. Verkouteren,Meppel,14/06/1901,,,,,,,,,,
mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky,Sittard,14/06/1901,,,,,,,,,,
A.H.A. Arts,Tilburg,03/12/1901,,,,,,,,,,
A.L.J. van Waesberghe,Tilburg,12/12/1901,,,,,,,,,,
W.P.G. Helsdingen,Lochem,13/08/1901,,,,,,,,,,
mr. H.F. Hesselink van Suchtelen,Lochem,20/08/1901,,,,,,,,,,
mr. H.P. de Kanter,Gouda,30/07/1901,,,,,,,,,,
mr. W.H. de Beaufort,Amersfoort,20/08/1901,,,,,,,,,,
J. van der Molen Tz.,Weststellingwerf,06/08/1901,,,,,,,,,,
J. van der Molen Tz.,Weststellingwerf,13/08/1901,,,,,,,,,,
mr. E.A. Smidt,Veendam,30/07/1901,,,,,,,,,,
F.H. Boels,Veendam,30/07/1901,,,,,,,,,,
mr. P.J. Troelstra,Veendam,07/08/1901,,,,,,,,,,
