Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
O. baron van Wassenaer van Catwijck,Zwolle,30/10/1866,,,,,,,,,,
mr. L.W.C. Keuchenius,Zwolle,30/10/1866,,,,,,,,,,
mr. G.A. IJssel de Schepper,Zwolle,13/11/1866,,,,,,,,,,
T.J. Stieltjes,Zwolle,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Zwolle,22/01/1868,,,,,,,,,,
mr. J.W. Gefken,Zwolle,08/06/1869,,,,,,,,,,
mr. L.W.C. Keuchenius,Zwolle,10/06/1873,,,,,,,,,,
mr. J.W. Gefken,Zwolle,08/06/1875,,,,,,,,,,
A. baron van Dedem,Zwolle,12/06/1877,,,,,,,,,,
A. baron van Dedem,Zwolle,10/06/1879,,,,,,,,,,
mr. A. van Naamen van Eemnes,Zwolle,24/06/1879,,,,,,,,,,
jhr.mr. J.A. Sandberg,Zwolle,14/06/1881,,,,,,,,,,
mr. S.J. van Roijen,Zwolle,12/06/1883,,,,,,,,,,
mr. S.J. van Roijen,Zwolle,28/10/1884,,,,,,,,,,
mr. D. Wicherlink,Zwolle,28/10/1884,,,,,,,,,,
mr. R.A. Fockema,Zwolle,15/06/1886,,,,,,,,,,
mr. D. Wicherlink,Zwolle,15/06/1886,,,,,,,,,,
mr. R.A. Fockema,Zwolle,01/09/1887,,,,,,,,,,
mr. D. Wicherlink,Zwolle,01/09/1887,,,,,,,,,,
mr. B.G. ten Pol,Almelo,11/09/1850,,,,,,,,,,
G. graaf van Schimmelpenninck,Almelo,17/05/1853,,,,,,,,,,
S.A. van Hoogstraten,Almelo,13/06/1854,,,,,,,,,,
G. graaf van Schimmelpenninck,Almelo,19/01/1855,,,,,,,,,,
mr. B. Brouwer,Almelo,22/07/1862,,,,,,,,,,
mr. P.A.S. van Limburg Brouwer,Almelo,22/07/1862,,,,,,,,,,
mr. B. Brouwer,Almelo,05/08/1862,,,,,,,,,,
mr. P.A.S. van Limburg Brouwer,Almelo,30/10/1866,,,,,,,,,,
jhr.mr. J.W. van Loon,Almelo,30/10/1866,,,,,,,,,,
mr. P.A.S. van Limburg Brouwer,Almelo,13/11/1866,,,,,,,,,,
mr. G.A. Vos de Wael,Almelo,13/11/1866,,,,,,,,,,
jhr.mr. J.W. van Loon,Almelo,13/11/1866,,,,,,,,,,
mr. G.M. van der Linden,Almelo,22/01/1868,,,,,,,,,,
mr. P.A.S. van Limburg Brouwer,Almelo,22/01/1868,,,,,,,,,,
mr. G.A. Vos de Wael,Almelo,04/02/1868,,,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Almelo,08/06/1869,,,,,,,,,,
mr. G.A. Vos de Wael,Almelo,13/06/1871,,,,,,,,,,
H.A. Insinger,Almelo,10/06/1873,,,,,,,,,,
mr. G.M. van der Linden,Almelo,24/06/1873,,,,,,,,,,
mr. S.J. baron van Pallandt,Almelo,08/06/1875,,ja,,,,,,,,
mr. S.J. baron van Pallandt,Almelo,22/06/1875,,ja,,,,,,,,
mr. G.M. van der Linden,Almelo,12/06/1877,,,,,,,,,,
mr. G.M. van der Linden,Almelo,26/06/1877,,,,,,,,,,
H.P. Gelderman,Almelo,10/06/1879,,ja,,,,,,,,
mr. A. van Laer,Almelo,14/06/1881,,,,,,,,,,
mr. A. van Laer,Almelo,28/06/1881,,,,,,,,,,
mr. A. van Laer,Almelo,12/06/1883,,,,,,,,,,
mr. E.J.I. van Sonsbeeck,Almelo,06/05/1884,,,,,,,,,,
mr. E.J.I. van Sonsbeeck,Almelo,20/05/1884,,,,,,,,,,
J.E. Stork,Almelo,28/10/1884,,ja,,,,,,,,
mr. A.H.M. van Berckel,Almelo,28/10/1884,,,,,,,,,,
mr. A. van Laer,Almelo,11/11/1884,,,,,,,,,,
J.E. Stork,Almelo,11/11/1884,,ja,,,,,,,,
mr. A. van Laer,Almelo,28/11/1884,,,,,,,,,,
mr. A. van Laer,Almelo,15/06/1886,,,,,,,,,,
A.H. Jannink,Almelo,15/06/1886,,,,,,,,,,
jhr. C.M. Storm van 's Gravesande,Deventer,17/05/1853,,,,,,,,,,
mr. J.R. Thorbecke,Deventer,31/05/1853,,,,,,,,,,
jhr. C.M. Storm van 's Gravesande,Deventer,10/06/1856,,,,,,,,,,
mr. W.A.A.J. baron van Schimmelpenninck van der Oye,Deventer,22/01/1868,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Deventer,10/06/1873,,,,,,,,,,
mr. W. van der Kaay,Deventer,15/07/1873,,,,,,,,,,
mr. J.W. Gefken,Deventer,08/06/1875,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Deventer,12/06/1877,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Deventer,14/06/1881,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Deventer,12/06/1883,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Deventer,28/10/1884,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Deventer,28/10/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Deventer,15/06/1886,,,,,,,,,,
mr. W.H. Dullert,Zutphen,17/05/1853,,,,,,,,,,
mr. J.P.P. baron van Zuylen van Nijevelt,Zutphen,17/05/1853,,,,,,,,,,
mr. J.J.L. van der Brugghen,Zutphen,13/06/1854,,,,,,,,,,
jhr. C.A.E.A. van Panhuys,Zutphen,10/06/1856,,,,,,,,,,
mr. W.H. Dullert,Zutphen,30/10/1866,,,,,,,,,,
mr. B.A. Reigers,Zutphen,30/10/1866,,,,,,,,,,
mr. W.H. Dullert,Zutphen,13/11/1866,,,,,,,,,,
mr. H.A. ridder van Rappard,Zutphen,22/01/1868,,,,,,,,,,
jhr.mr. C.J.C.H. van Nispen tot Sevenaer,Zutphen,22/01/1868,,,,,,,,,,
mr. Ã. baron van Mackay 2,Zutphen,08/06/1875,,,,,,,,,,
mr. Ã. baron van Mackay 2,Zutphen,20/07/1875,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Zutphen,27/11/1877,,,,,,,,,,
mr. T.P. baron van Mackay,Zutphen,10/06/1879,,,,,,,,,,
mr. T.P. baron van Mackay,Zutphen,14/06/1881,,,,,,,,,,
mr. T.P. baron van Mackay,Zutphen,13/12/1881,,,,,,,,,,
jhr.mr. H.B. van Tets,Zutphen,05/12/1882,,ja,,,,,,,,
jhr.mr. H.B. van Tets,Zutphen,12/06/1883,,ja,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Zutphen,28/10/1884,,,,,,,,,,
K.W. van Gorkom,Zutphen,28/10/1884,,,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Zutphen,11/11/1884,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Zutphen,15/06/1886,,,,,,,,,,
mr. J.D.C. baron van Heeckeren van Kell,Zutphen,15/06/1886,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Zutphen,01/09/1887,,,,,,,,,,
mr. G. Groen van Prinsterer,Arnhem,27/08/1850,,,,,,,,,,
mr. Ã. baron van Mackay,Arnhem,27/08/1850,,,,,,,,,,
P.C.G. Guyot,Arnhem,24/09/1850,,,,,,,,,,
mr. G.J.C. Schneither,Arnhem,24/09/1850,,,,,,,,,,
P.C.G. Guyot,Arnhem,08/10/1850,,,,,,,,,,
mr. G.J.C. Schneither,Arnhem,08/10/1850,,,,,,,,,,
mr. G.A. de Meester,Arnhem,10/06/1862,,,,,,,,,,
mr. J.F. Pringle,Arnhem,14/06/1864,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,30/10/1866,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,22/01/1868,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Arnhem,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Arnhem,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Arnhem,04/02/1868,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Arnhem,04/02/1868,,,,,,,,,,
jhr.mr. J.W. van Loon,Arnhem,08/06/1869,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,13/06/1871,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Arnhem,08/06/1875,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Arnhem,22/06/1875,,,,,,,,,,
mr. W.C.J.J. Cremers,Arnhem,28/05/1878,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Arnhem,14/06/1881,,,,,,,,,,
mr. H.C. Verniers van der Loeff,Arnhem,12/06/1883,,,,,,,,,,
W. Rooseboom,Arnhem,28/10/1884,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Arnhem,28/10/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Arnhem,11/11/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Arnhem,15/06/1886,,,,,,,,,,
mr. R. baron van Melvil van Lynden,Arnhem,15/06/1886,,,,,,,,,,
mr. C.J.A. Heydenrijck,Nijmegen,10/06/1862,,,,,,,,,,
dr. W.R. baron van HoÃ«vell,Tiel,27/08/1850,,,,,,,,,,
mr. J.A.A. Leemans,Tiel,09/11/1852,,,,,,,,,,
mr. J.M. de Kempenaer,Tiel,23/11/1852,,,,,,,,,,
jhr. B. van Merlen,Tiel,08/06/1858,,,,,,,,,,
W.J. Knoop,Tiel,08/06/1869,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Tiel,08/06/1869,,,,,,,,,,
T.J. Stieltjes,Tiel,08/06/1869,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Tiel,13/06/1871,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Tiel,10/10/1871,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,15/09/1874,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,29/09/1874,,,,,,,,,,
P.A.C.H.T.A. WerdmÃ¼ller von Elgg,Tiel,17/04/1877,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Tiel,10/06/1879,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Tiel,14/06/1881,,,,,,,,,,
mr. W.H. de Beaufort,Tiel,12/06/1883,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,28/10/1884,,,,,,,,,,
mr. C. Pijnacker Hordijk,Tiel,28/10/1884,,,,,,,,,,
